STATE,STATE_NAME,VERTICAL_MI,HORIZONTAL_MI,LAT_POP_INT,LONG_POP_INT,BBOX_LAT_MIN,BBOX_LAT_MAX,BBOX_LONG_MIN,BBOX_LONG_MAX
1,ALABAMA,330,200,32.7396323,-86.8434593,30.1463,35.0041,-88.4743,-84.8927
2,ALASKA,1400,2200,63.346191,-152.8370679,52.5964,71.5232,-169.9146,-129.993
4,ARIZONA,400,340,34.2099643,-111.602401,31.3325,37.0004,-114.8126,-109.0475
5,ARKANSAS,250,280,34.8955256,-92.4446262,33.0075,36.4997,-94.6198,-89.6594
6,CALIFORNIA,660,590,37.148573,-119.5406515,32.5121,42.0126,-124.6509,-114.1315
8,COLORADO,280,380,38.9935752,-105.5077737,36.9949,41.0006,-109.0489,-102.0424
9,CONNECTICUT,75,110,41.5797842,-72.7466666,40.9509,42.0511,-73.7272,-71.7874
10,DELAWARE,100,42,38.9935501,-75.4473739,38.4482,39.8296,-75.7919,-74.8526
11,DISTRICT OF COLUMBIA,14,11,38.9041485,-77.0170942,38.79164435,39.031386,-77.11979522,-76.867218
12,FLORIDA,410,460,28.4574302,-82.4091478,24.3959,31.0035,-87.6256,-79.8198
13,GEORGIA,320,280,32.629384,-83.4232125,30.3575,34.9996,-85.6082,-80.696
15,HAWAII,360,233,19.809767,-155.5061027,18.71,22.3386,-160.3922,-154.6271
16,IDAHO,480,310,44.3020948,-114.5956254,41.9871,49.0018,-117.2372,-111.0471
17,ILLINOIS,380,213,40.1028754,-89.1526108,36.9894,42.5116,-91.512,-87.0213
18,INDIANA,275,150,39.9030256,-86.2839503,37.7718,41.7611,-88.098,-84.809
19,IOWA,217,335,42.0700243,-93.4933473,40.3622,43.5008,-96.6357,-90.1538
20,KANSAS,210,401,38.4985464,-98.3834298,36.9927,40.0087,-102.0506,-94.6046
21,KENTUCKY,420,182,37.5336807,-85.2929841,36.4931,39.1439,-89.5372,-82.0308
22,LOUISIANA,280,305,30.8577705,-91.803273,28.8832,33.0225,-94.043,-88.7421
23,MAINE,320,205,45.3906022,-68.6574869,42.9182,47.455,-71.0829,-66.8628
24,MARYLAND,120,240,38.9466584,-76.6744939,37.8889,39.722,-79.4861,-74.8581
25,MASSACHUSETTS,115,190,42.1565196,-71.4895915,41.159,42.889,-73.5081,-69.7398
26,MICHIGAN,456,386,44.8410835,-85.6593197,41.6965,48.3042,-90.4175,-82.1221
27,MINNESOTA,410,360,46.3161343,-94.1994801,43.5008,49.3877,-97.2304,-89.4919
28,MISSISSIPPI,340,210,32.6864655,-89.6561493,30.0905,35.0075,-91.6589,-88.0994
29,MISSOURI,350,300,38.35075,-92.4567826,35.9958,40.6181,-95.7527,-89.1005
30,MONTANA,315,560,47.0511771,-109.6348174,44.3563,48.9991,-116.0458,-104.0186
31,NEBRASKA,210,450,41.5438105,-99.8123253,39.9992,43.0006,-104.0543,-95.3091
32,NEVADA,490,320,39.3310928,-116.6151469,35.003,42.0003,-120.0037,-114.0436
33,NEW HAMPSHIRE,180,95,43.6708595,-71.5811278,42.6986,45.3058,-72.5592,-70.5583
34,NEW JERSEY,170,90,40.1072744,-74.6652012,38.8472,41.3593,-75.5708,-73.8885
35,NEW MEXICO,392,344,34.4391265,-106.1261511,31.3337,36.9982,-109.0489,-103.0023
36,NEW YORK,315,410,42.9133974,-75.5962723,40.4772,45.0153,-79.7624,-71.7517
37,NORTH CAROLINA,190,500,35.53971,-79.1308636,33.7666,36.588,-84.3201,-75.4129
38,NORTH DAKOTA,215,345,47.4569538,-100.4619304,45.934,48.9982,-104.0501,-96.5671
39,OHIO,240,230,40.4149297,-82.7119975,38.3761,42.321,-84.8172,-80.5188
40,OKLAHOMA,230,472,35.5894185,-97.4868683,33.6386,37.0015,-103.0064,-94.4357
41,OREGON,300,400,43.9715225,-120.6226269,41.9952,46.2891,-124.7305,-116.4606
42,PENNSYLVANIA,160,302,40.9042486,-77.8280624,39.7199,42.5167,-80.5243,-74.707
44,RHODE ISLAND,61,40,41.5978358,-71.5252895,41.1849,42.0156,-71.9041,-71.0541
45,SOUTH CAROLINA,220,280,33.8741769,-80.8542699,32.0453,35.2075,-83.3588,-78.4836
46,SOUTH DAKOTA,240,380,44.4467957,-100.2381762,42.4772,45.9435,-104.0529,-96.438
47,TENNESSEE,440,120,35.8585639,-86.3493573,34.9884,36.6871,-90.3131,-81.6518
48,TEXAS,740,770,31.4347032,-99.2818238,25.8419,36.5008,-106.6168,-93.5074
49,UTAH,350,270,39.3349735,-111.6563633,36.9982,41.9993,-114.0504,-109.0462
50,VERMONT,150,100,44.0605475,-72.673354,42.7289,45.0153,-73.4381,-71.4949
51,VIRGINIA,430,200,37.5222512,-78.6681938,36.5427,39.4659,-83.6753,-74.9707
53,WASHINGTON,240,360,47.4162296,-120.5996231,45.5439,49.0027,-124.8679,-116.9165
54,WEST VIRGINIA,240,265,38.6472854,-80.6183274,37.1953,40.6338,-82.6392,-77.731
55,WISCONSIN,300,300,44.628484,-89.7119299,42.4954,47.31,-92.8564,-86.2523
56,WYOMING,280,350,42.9918024,-107.5419255,40.9986,44.9998,-111.0539,-104.0556
72,PUERTO RICO,,,,,,,,